,강력범죄,교통범죄,기타범죄,노동범죄,마약범죄,병역범죄,보건범죄,선거범죄,안보범죄,절도범죄,지능범죄,특별경제범죄,폭력범죄,풍속범죄,환경범죄,SUM
서울,6246,50895,41026,55,2154,748,3937,201,124,38296,82443,11539,48308,4805,39,290816
부산,1593,18201,21878,18,865,205,1713,64,5,14189,36784,3633,19086,1461,400,120095
대구,917,19005,7875,12,285,174,315,18,7,8675,19812,1869,12278,918,11,72171
인천,1524,16771,15504,9,759,288,733,29,13,8991,24407,2990,17798,1292,149,91257
광주,629,12432,4770,8,126,87,348,30,2,4939,10777,1161,7360,505,5,43179
대전,732,10583,5085,11,113,102,280,9,1,5259,12157,1216,8272,593,13,44426
울산,502,8020,4288,11,73,52,133,10,0,3116,8561,904,5523,584,57,31834
세종,91,1337,867,1,34,17,58,0,0,876,1862,178,873,54,3,6251
경기 고양,341,6159,4018,6,100,81,305,9,0,2174,8093,955,4314,434,54,27043
경기 과천,19,359,195,0,4,2,7,2,0,127,308,29,148,17,4,1221
경기 광명,119,1717,1062,4,29,9,68,8,0,1093,1989,220,1650,109,3,8080
경기 광주,87,3035,1606,4,42,26,120,2,0,808,2750,334,1885,124,37,10860
경기 구리,87,1495,663,0,20,12,83,3,0,618,1410,188,1075,73,5,5732
경기 군포,99,1075,582,1,13,11,38,3,0,713,1441,221,1000,81,2,5280
경기 김포,143,3207,1715,0,43,43,102,4,2,1186,3499,477,1860,100,7,12388
경기 남양주,202,3679,2090,0,60,72,163,2,1,1353,4071,403,2514,147,56,14813
경기 동두천,62,598,426,2,19,10,18,3,0,266,828,88,607,41,7,2975
경기 부천,469,5573,3763,10,103,50,241,10,2,3550,8074,910,5084,351,22,28212
경기 성남,415,5951,3979,4,74,49,258,7,3,3021,7584,878,4238,600,5,27066
경기 수원,620,8826,5320,3,176,68,331,8,2,4868,10413,1134,7016,1860,14,40659
경기 시흥,273,5096,2061,3,127,30,148,2,1,1778,4465,491,3028,203,20,17726
경기 안산,396,6495,3117,4,151,40,232,11,0,3007,6664,972,4819,347,8,26263
경기 안성,93,1881,859,1,43,19,67,18,1,789,1265,153,1268,54,2,6513
경기 안양,250,2514,1905,2,110,30,161,8,3,1822,3698,468,2750,412,2,14135
경기 양주,94,1725,1028,1,74,23,46,3,1,503,1420,190,1229,68,81,6486
경기 여주,65,1130,518,0,24,7,25,1,1,395,771,82,701,29,3,3752
경기 오산,112,1958,903,0,40,15,61,3,2,890,1744,229,1342,77,15,7391
경기 용인,230,5592,2912,2,83,31,161,6,2,2587,5602,615,3293,247,139,21502
경기 의왕,37,818,410,1,11,11,18,6,0,238,801,117,464,43,0,2975
경기 의정부,245,2790,1835,2,108,51,77,2,1,1507,3909,452,3099,262,11,14351
경기 이천,123,2070,1023,1,47,12,41,3,0,775,1646,187,1366,118,42,7454
경기 파주,130,2804,1438,1,92,43,83,3,1,987,3380,395,1941,142,104,11544
경기 평택,273,6637,4943,4,119,30,177,5,6,2058,6161,633,4123,188,109,25466
경기 포천,81,1612,817,3,87,17,29,7,0,414,1192,148,866,49,167,5489
경기 하남,68,1679,873,1,11,26,72,3,0,823,1835,206,1130,70,18,6815
경기 화성,243,5417,3017,6,120,47,227,1,2,1898,5169,680,3924,314,309,21374
강원 강릉,131,1645,782,2,19,9,120,4,0,640,1324,174,1290,65,15,6220
강원 동해,41,487,1016,2,7,9,51,0,0,185,297,49,470,22,12,2648
강원 삼척,24,553,413,1,2,1,13,0,0,140,530,47,381,18,7,2130
강원 속초,39,742,378,1,4,4,29,1,1,281,665,119,718,40,7,3029
강원 원주,135,2988,1706,2,54,13,90,4,2,1150,2537,268,1625,114,28,10716
강원 춘천,109,2175,1154,2,66,14,26,6,0,945,2066,216,1340,260,13,8392
강원 태백,24,293,180,0,7,2,11,1,0,75,281,32,244,11,1,1162
충북 제천,60,1127,453,0,22,5,14,4,0,373,760,79,625,217,0,3739
충북 청주,389,6849,2901,7,87,58,98,8,0,3211,6412,761,4490,299,2,25572
충북 충주,93,1728,771,0,77,19,37,1,0,790,1559,144,871,56,9,6155
충남 계룡,10,104,60,0,2,1,5,0,0,59,157,18,79,5,0,500
충남 공주,51,814,351,1,24,4,10,0,0,277,633,43,466,25,3,2702
충남 논산,37,778,457,0,20,25,23,1,0,425,1075,113,532,25,5,3516
충남 당진,72,1477,637,1,40,22,214,1,0,526,975,110,765,45,10,4895
충남 보령,51,913,421,1,26,10,49,2,0,325,624,89,475,33,5,3024
충남 서산,77,1374,1407,2,29,6,319,0,0,590,1153,139,924,58,37,6115
충남 아산,118,2411,1018,2,58,26,70,1,0,1201,1987,255,1869,101,5,9122
충남 천안,342,5294,2553,5,92,88,169,6,1,2865,5992,601,3025,256,55,21344
전북 군산,120,1826,3750,2,11,17,41,3,0,1019,2306,178,1531,112,17,10933
전북 김제,34,591,257,0,3,3,6,1,0,216,399,47,426,30,1,2014
전북 남원,31,479,253,0,6,3,14,4,0,207,602,52,345,30,2,2028
전북 익산,96,1857,816,3,24,20,42,3,1,1077,2225,172,1410,84,23,7853
전북 전주,305,3868,2359,1,36,39,102,19,1,2196,5219,403,3075,279,24,17926
전북 정읍,44,708,392,3,18,13,13,5,1,358,728,65,538,31,3,2920
전남 광양,59,1219,1082,4,7,6,31,0,0,408,871,127,729,38,11,4592
전남 나주,46,838,380,4,13,3,18,3,0,414,624,74,465,15,8,2905
전남 목포,138,2413,1024,6,18,15,53,8,0,1062,1866,206,1651,77,14,8551
전남 순천,114,2353,948,3,58,16,62,7,0,907,1812,213,1480,76,4,8053
전남 여수,143,3041,3587,9,36,22,72,18,2,872,2592,228,1540,80,32,12274
경북 경산,115,1708,800,0,25,27,18,2,0,1020,1458,186,1361,80,3,6803
경북 경주,109,2141,971,0,47,17,57,7,0,892,2652,180,1115,66,70,8324
경북 구미,149,3350,1336,2,47,62,50,9,1,1787,3748,280,1797,115,22,12755
경북 김천,48,1084,443,0,22,9,28,0,0,431,977,93,874,40,27,4076
경북 문경,24,433,188,0,21,3,7,0,0,166,279,31,306,19,4,1481
경북 상주,35,730,312,0,23,5,10,6,0,342,425,39,369,17,10,2323
경북 안동,69,1324,615,1,36,11,32,14,0,444,1001,93,1079,113,11,4843
경북 영주,43,662,258,0,25,5,9,1,0,216,532,40,429,29,1,2250
경북 영천,36,1036,315,3,12,4,6,2,0,380,667,40,543,18,8,3070
경북 포항,193,3875,2947,4,66,57,94,10,0,1963,4045,303,2400,130,45,16132
경남 거제,110,1938,1043,1,23,25,108,6,1,833,2215,233,1482,84,19,8121
경남 김해,172,3928,2177,1,200,56,164,9,1,2441,5342,461,2761,175,116,18004
경남 밀양,41,736,302,0,30,1,31,0,0,314,750,58,481,19,34,2797
경남 사천,42,997,727,0,21,4,7,2,1,407,748,69,652,28,26,3731
경남 양산,127,2400,1245,1,61,55,69,3,0,1340,2524,331,1662,84,13,9915
경남 진주,148,1687,1103,0,43,27,65,5,0,2050,2746,256,1896,94,26,10146
경남 창원,386,5418,4700,0,174,65,269,13,2,3902,9151,884,5197,292,69,30522
경남 통영,66,1245,1442,1,17,16,41,3,0,478,1179,90,931,39,24,5572
제주 서귀포,103,1904,1888,6,9,29,25,8,1,1155,1451,183,1344,57,5,8168
제주 제주,347,4632,3354,34,19,49,106,20,0,2270,4719,711,3997,215,11,20484
기타도시,43,129,3327,3,135,60,60,10,13,24,13860,893,365,629,41,19592
도시이외,1383,27287,26459,44,925,247,661,84,4,9279,18917,2005,15116,1015,707,104133
