,강력범죄,교통범죄,기타범죄,노동범죄,마약범죄,병역범죄,보건범죄,선거범죄,안보범죄,절도범죄,지능범죄,특별경제범죄,폭력범죄,풍속범죄,환경범죄,SUM
경기 화성,281,4615,3350,7,147,56,193,12,3,2512,4622,718,3854,345,464,21179
강원 강릉,121,1340,831,1,10,25,79,7,3,632,1341,118,1040,81,2,5631
강원 동해,30,312,522,1,10,14,26,5,0,222,323,73,509,27,12,2086
강원 삼척,34,338,353,2,6,1,19,3,0,222,421,45,351,20,5,1820
강원 속초,51,423,423,1,12,6,50,5,0,239,975,105,566,53,6,2915
강원 원주,137,2034,1505,3,63,32,123,29,2,1250,2823,253,1581,153,13,10001
강원 춘천,135,1577,1193,1,85,7,100,15,0,857,1877,211,1319,150,7,7534
강원 태백,22,200,146,0,8,3,6,5,0,90,217,34,199,14,0,944
충북 제천,60,664,439,1,19,9,42,12,0,383,717,67,565,49,0,3027
충북 청주,431,4297,3097,2,105,41,249,26,0,3435,6617,626,4022,397,8,23353
충북 충주,102,1266,732,1,103,12,65,13,0,758,1522,268,903,90,8,5843
충남 계룡,13,85,57,0,1,2,3,1,0,75,131,8,76,5,1,458
충남 공주,40,647,385,2,45,4,18,4,1,332,671,58,392,37,4,2640
충남 논산,41,698,511,1,12,19,10,6,0,383,933,71,459,37,4,3185
충남 당진,86,1371,1089,1,30,11,20,5,0,409,838,116,773,61,2,4812
충남 보령,61,742,1066,3,30,4,62,2,1,253,551,72,416,32,3,3298
충남 서산,88,1045,656,0,45,4,30,8,0,520,1134,128,856,69,3,4586
충남 아산,146,1841,1327,1,33,23,66,10,1,1263,1775,280,1302,124,4,8196
충남 천안,360,3888,2681,2,115,34,208,39,1,3069,6431,595,2942,405,88,20858
전북 군산,116,1350,3596,277,18,20,63,20,0,884,2414,385,1167,128,5,10443
전북 김제,27,398,236,0,3,2,8,3,0,166,452,81,315,17,4,1712
전북 남원,21,321,272,0,7,1,19,9,1,232,554,39,373,24,1,1874
전북 익산,97,1146,946,0,19,30,52,16,2,969,2455,132,1231,114,3,7212
전북 전주,313,2912,2621,2,32,34,190,17,2,2185,4964,429,2534,336,17,16588
전북 정읍,38,550,344,0,15,6,32,7,1,546,683,69,393,32,4,2720
전남 광양,44,940,476,0,11,7,56,17,0,446,1036,95,693,65,11,3897
전남 나주,48,516,354,1,20,2,20,9,0,418,511,81,469,44,2,2495
전남 목포,139,1577,2901,4,29,23,117,71,1,1287,2070,233,1514,143,20,10129
전남 순천,124,1347,978,2,38,8,110,21,0,966,1843,156,1549,109,5,7256
전남 여수,115,1847,3629,3,33,21,106,30,0,809,2149,208,1456,76,74,10556
경북 경산,102,1327,950,1,26,35,77,13,0,1014,1878,199,1251,145,0,7018
경북 경주,97,1443,1272,9,54,14,55,5,0,1208,1864,349,1078,70,65,7583
경북 구미,141,2371,1314,1,59,67,134,14,1,1744,3537,366,1928,210,4,11891
경북 김천,42,682,493,0,19,15,43,15,0,493,765,92,530,41,23,3253
경북 문경,12,251,175,1,13,1,17,9,0,180,321,46,228,14,3,1271
경북 상주,26,433,316,0,16,7,16,13,0,350,525,46,344,13,18,2123
경북 안동,65,742,517,1,37,9,29,23,1,443,972,101,764,81,8,3793
경북 영주,41,441,294,1,19,2,14,7,0,246,538,50,405,32,0,2090
경북 영천,34,663,407,0,16,14,11,6,0,283,575,67,538,36,2,2652
경북 포항,227,2478,3224,5,29,33,122,17,1,2508,3630,273,1839,185,43,14614
경남 거제,99,1239,1894,2,27,11,112,15,0,794,1760,163,1154,94,22,7386
경남 김해,195,2710,2128,8,139,38,182,13,3,2757,3941,408,2370,201,188,15281
경남 밀양,39,574,401,1,23,8,71,3,0,308,650,55,480,29,36,2678
경남 사천,48,751,527,1,18,4,54,18,0,342,703,66,547,40,46,3165
경남 양산,113,1573,1348,6,51,25,93,25,0,1158,2428,277,1568,149,7,8821
경남 진주,154,1376,1286,7,55,13,104,16,1,2114,2906,376,1671,119,31,10229
경남 창원,380,4023,5339,5,226,56,291,53,1,3426,8564,796,4602,444,71,28277
경남 통영,74,825,3261,0,62,9,68,7,0,387,1367,114,752,48,33,7007
제주 서귀포,124,1382,1455,9,7,12,47,21,2,886,1875,186,1409,95,11,7521
제주 제주,326,3052,3575,27,44,27,170,29,1,2247,4879,595,3978,265,21,19236
기타도시,46,323,8013,13,71,303,108,124,12,43,27106,2460,638,896,49,40205
도시이외,1502,20094,23631,32,1000,214,856,461,9,9454,19820,2025,13926,1037,574,94635
