,강력범죄,교통범죄,기타범죄,노동범죄,마약범죄,병역범죄,보건범죄,선거범죄,안보범죄,절도범죄,지능범죄,특별경제범죄,폭력범죄,풍속범죄,환경범죄,SUM
서울,6250,32013,48367,83,2821,935,4260,552,61,37594,72239,10374,46710,5469,50,267778
부산,1693,12176,24440,37,856,164,2581,138,13,13699,32816,3996,17242,1986,243,112080
대구,1027,12610,8821,19,306,207,777,128,6,9792,18192,1917,11360,1263,16,66441
인천,1599,11926,17865,14,1062,400,1048,104,7,8895,21815,3025,15295,1746,87,84888
광주,631,7827,5177,9,129,109,431,104,4,5204,10463,1332,6302,679,7,38408
대전,810,6389,5758,21,101,68,303,50,4,6034,13735,1226,7764,914,23,43200
울산,500,5754,4016,1,107,64,347,50,4,3283,6697,794,5042,697,29,27385
세종,121,1031,1009,0,29,20,60,14,2,1110,1910,169,910,133,7,6525
경기 고양,358,3967,3852,21,119,126,240,23,0,2484,7227,956,4206,501,46,24126
경기 과천,12,386,277,0,3,4,16,14,0,212,417,43,174,28,0,1586
경기 광명,108,928,1218,1,28,18,59,10,0,932,1844,238,1456,153,9,7002
경기 광주,110,2328,1453,4,34,42,120,9,0,978,2358,344,2167,141,42,10130
경기 구리,60,1360,878,0,27,25,53,16,0,478,1078,143,753,102,7,4980
경기 군포,90,785,751,1,14,18,50,11,1,753,1452,382,1054,132,0,5494
경기 김포,149,2739,2240,0,62,45,72,6,0,1461,2613,420,2128,197,7,12139
경기 남양주,188,2724,2667,2,92,109,85,9,1,1420,3886,432,2389,301,43,14348
경기 동두천,63,377,486,0,18,14,15,8,0,345,756,89,596,47,6,2820
경기 부천,448,3903,3883,5,89,70,271,28,1,3423,7022,939,4702,477,12,25273
경기 성남,398,4106,4112,5,73,82,332,90,1,3050,5433,946,4223,495,7,23353
경기 수원,621,5837,4988,11,211,109,338,45,3,4704,8453,946,6328,1286,12,33892
경기 시흥,239,4071,2317,6,99,48,165,21,2,1861,3812,525,2855,256,72,16349
경기 안산,379,4518,3036,1,144,52,211,21,1,2862,5035,717,4280,447,105,21809
경기 안성,105,1364,920,2,42,28,92,26,1,629,1293,148,1157,96,4,5907
경기 안양,214,2072,1763,0,64,66,158,30,0,1593,3146,552,2277,269,2,12206
경기 양주,83,1212,1086,1,35,42,72,14,1,423,1505,168,969,78,66,5755
경기 여주,53,795,543,0,36,9,17,4,0,308,869,65,554,36,13,3302
경기 오산,117,1149,1005,3,31,20,59,7,0,875,1712,193,1286,136,14,6607
경기 용인,297,3981,4180,3,106,106,136,29,4,2724,5030,594,3478,380,111,21159
경기 의왕,29,623,395,0,21,10,11,8,0,219,710,57,340,63,1,2487
경기 의정부,249,1837,1834,1,100,43,89,13,45,1234,4034,449,2534,257,7,12726
경기 이천,92,1495,862,1,49,41,45,13,0,739,1543,176,1250,86,41,6433
경기 파주,198,2267,1842,3,58,63,100,12,3,1207,3983,489,2232,247,79,12783
경기 평택,290,5276,5779,8,127,56,229,16,2,2344,5174,591,3684,328,168,24072
경기 포천,74,1042,689,1,81,24,17,8,0,418,1075,116,716,74,92,4427
경기 하남,91,1121,919,1,42,23,74,4,1,786,2124,200,1054,132,14,6586
