,강력범죄,교통범죄,기타범죄,노동범죄,마약범죄,병역범죄,보건범죄,선거범죄,안보범죄,절도범죄,지능범죄,특별경제범죄,폭력범죄,풍속범죄,환경범죄,SUM
아파트_연립다세대,4212,105,23270,3,963,128,1426,6,2,16482,12468,1278,43041,2605,12,106001
단독주택,2707,38,16456,5,1430,244,874,6,6,8535,13695,874,24346,2112,19,71347
고속도로,21,5327,1225,0,7,1,5,0,0,99,1057,28,379,0,3,8152
노상,3170,300530,44243,21,1719,76,919,101,32,46374,66079,4104,81460,2203,599,551630
백화점,23,1,77,0,0,0,1,0,0,2142,352,50,125,36,1,2808
슈퍼마켓,132,1,588,0,1,0,59,0,0,9920,1030,373,808,52,1,12965
편의점,273,4,1871,1,17,0,52,0,1,6143,3558,1381,2071,117,0,15489
대형할인매장,17,0,67,0,0,0,1,0,0,3350,257,58,146,16,0,3912
상점,477,36,2620,1,98,1,780,3,0,15031,6201,2187,3142,342,43,30962
시장_노점,197,79,1336,4,30,0,454,0,0,3970,1892,686,2392,187,5,11232
숙박업소_목욕탕,2810,7,2766,10,934,5,164,0,3,2666,1403,604,5306,661,5,17344
유흥접객업소,2157,14,11028,44,148,0,5865,7,4,7116,12279,4825,16823,526,2,60838
사무실,721,74,20274,134,152,248,841,54,49,2282,38544,5978,5946,1996,168,77461
공장,91,9,1742,19,67,5,384,0,2,972,1167,517,1279,19,832,7105
공사장_광산,23,21,1067,7,2,0,3,0,0,1205,1526,355,1125,2,262,5598
창고,29,3,338,0,6,0,4,0,0,1179,166,25,235,32,24,2041
역_대합실,328,7,3218,0,55,3,9,1,0,1100,2022,191,1105,493,6,8538
지하철,605,0,173,1,1,1,0,0,0,435,848,17,450,414,1,2946
기타교통수단내,1093,63,1743,1,127,1,7,0,2,2840,3785,381,3809,375,18,14245
흥행장,95,4,259,0,1,0,29,1,0,364,256,38,180,21,13,1261
유원지,244,9,737,0,17,6,49,0,0,1493,1167,57,1835,205,5,5824
학교,286,4,1759,4,7,10,7,1,1,1026,434,80,1194,168,2,4983
금융기관,13,1,209,0,52,0,7,1,3,2881,2686,650,225,6,0,6734
의료기관,438,3,1826,3,311,4,964,0,0,1139,1927,564,1917,41,7,9144
종교기관,52,3,510,0,3,0,59,3,0,440,229,50,463,5,1,1818
산야,64,56,2782,3,278,1,85,0,0,3514,454,112,1963,39,228,9579
해상,8,132,15713,4,0,0,2,0,1,71,213,10,122,4,170,16450
부대,13,1,125,0,0,76,0,0,0,9,53,2,56,14,0,349
구금장소,8,0,33,0,1,0,1,0,0,3,30,0,52,0,0,128
공지,3,1,72,0,0,0,2,0,0,56,18,5,40,0,13,210
주차장,188,769,1791,0,90,0,15,0,0,9891,2341,187,11227,45,9,26553
공중화장실,134,0,172,0,26,0,0,0,0,727,906,4,363,822,0,3154
피씨방,38,0,943,0,5,0,41,0,1,1253,476,91,546,258,0,3652
기타,1806,1332,82049,141,1540,1013,3827,90,99,11701,181588,14946,18490,9544,1207,329373
