범죄대분류,서울,부산,대구,인천,광주,대전,울산,세종,경기 고양,경기 과천,경기 광명,경기 광주,경기 구리,경기 군포,경기 김포,경기 남양주,경기 동두천,경기 부천,경기 성남,경기 수원,경기 시흥,경기 안산,경기 안성,경기 안양,경기 양주,경기 여주,경기 오산,경기 용인,경기 의왕,경기 의정부,경기 이천,경기 파주,경기 평택,경기 포천,경기 하남,경기 화성,강원 강릉,강원 동해,강원 삼척,강원 속초,강원 원주,강원 춘천,강원 태백,충북 제천,충북 청주,충북 충주,충남 계룡,충남 공주,충남 논산,충남 당진,충남 보령,충남 서산,충남 아산,충남 천안,전북 군산,전북 김제,전북 남원,전북 익산,전북 전주,전북 정읍,전남 광양,전남 나주,전남 목포,전남 순천,전남 여수,경북 경산,경북 경주,경북 구미,경북 김천,경북 문경,경북 상주,경북 안동,경북 영주,경북 영천,경북 포항,경남 거제,경남 김해,경남 밀양,경남 사천,경남 양산,경남 진주,경남 창원,경남 통영,제주 서귀포,제주 제주,기타도시,도시이외
강력범죄,6250,1693,1027,1599,631,810,500,121,358,12,108,110,60,90,149,188,63,448,398,621,239,379,105,214,83,53,117,297,29,249,92,198,290,74,91,281,121,30,34,51,137,135,22,60,431,102,13,40,41,86,61,88,146,360,116,27,21,97,313,38,44,48,139,124,115,102,97,141,42,12,26,65,41,34,227,99,195,39,48,113,154,380,74,124,326,46,1502
교통범죄,32013,12176,12610,11926,7827,6389,5754,1031,3967,386,928,2328,1360,785,2739,2724,377,3903,4106,5837,4071,4518,1364,2072,1212,795,1149,3981,623,1837,1495,2267,5276,1042,1121,4615,1340,312,338,423,2034,1577,200,664,4297,1266,85,647,698,1371,742,1045,1841,3888,1350,398,321,1146,2912,550,940,516,1577,1347,1847,1327,1443,2371,682,251,433,742,441,663,2478,1239,2710,574,751,1573,1376,4023,825,1382,3052,323,20094
기타범죄,48367,24440,8821,17865,5177,5758,4016,1009,3852,277,1218,1453,878,751,2240,2667,486,3883,4112,4988,2317,3036,920,1763,1086,543,1005,4180,395,1834,862,1842,5779,689,919,3350,831,522,353,423,1505,1193,146,439,3097,732,57,385,511,1089,1066,656,1327,2681,3596,236,272,946,2621,344,476,354,2901,978,3629,950,1272,1314,493,175,316,517,294,407,3224,1894,2128,401,527,1348,1286,5339,3261,1455,3575,8013,23631
노동범죄,83,37,19,14,9,21,1,0,21,0,1,4,0,1,0,2,0,5,5,11,6,1,2,0,1,0,3,3,0,1,1,3,8,1,1,7,1,1,2,1,3,1,0,1,2,1,0,2,1,1,3,0,1,2,277,0,0,0,2,0,0,1,4,2,3,1,9,1,0,1,0,1,1,0,5,2,8,1,1,6,7,5,0,9,27,13,32
마약범죄,2821,856,306,1062,129,101,107,29,119,3,28,34,27,14,62,92,18,89,73,211,99,144,42,64,35,36,31,106,21,100,49,58,127,81,42,147,10,10,6,12,63,85,8,19,105,103,1,45,12,30,30,45,33,115,18,3,7,19,32,15,11,20,29,38,33,26,54,59,19,13,16,37,19,16,29,27,139,23,18,51,55,226,62,7,44,71,1000
병역범죄,935,164,207,400,109,68,64,20,126,4,18,42,25,18,45,109,14,70,82,109,48,52,28,66,42,9,20,106,10,43,41,63,56,24,23,56,25,14,1,6,32,7,3,9,41,12,2,4,19,11,4,4,23,34,20,2,1,30,34,6,7,2,23,8,21,35,14,67,15,1,7,9,2,14,33,11,38,8,4,25,13,56,9,12,27,303,214
보건범죄,4260,2581,777,1048,431,303,347,60,240,16,59,120,53,50,72,85,15,271,332,338,165,211,92,158,72,17,59,136,11,89,45,100,229,17,74,193,79,26,19,50,123,100,6,42,249,65,3,18,10,20,62,30,66,208,63,8,19,52,190,32,56,20,117,110,106,77,55,134,43,17,16,29,14,11,122,112,182,71,54,93,104,291,68,47,170,108,856
선거범죄,552,138,128,104,104,50,50,14,23,14,10,9,16,11,6,9,8,28,90,45,21,21,26,30,14,4,7,29,8,13,13,12,16,8,4,12,7,5,3,5,29,15,5,12,26,13,1,4,6,5,2,8,10,39,20,3,9,16,17,7,17,9,71,21,30,13,5,14,15,9,13,23,7,6,17,15,13,3,18,25,16,53,7,21,29,124,461
안보범죄,61,13,6,7,4,4,4,2,0,0,0,0,0,1,0,1,0,1,1,3,2,1,1,0,1,0,0,4,0,45,0,3,2,0,1,3,3,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,2,2,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,3,0,0,0,1,1,0,2,1,12,9
절도범죄,37594,13699,9792,8895,5204,6034,3283,1110,2484,212,932,978,478,753,1461,1420,345,3423,3050,4704,1861,2862,629,1593,423,308,875,2724,219,1234,739,1207,2344,418,786,2512,632,222,222,239,1250,857,90,383,3435,758,75,332,383,409,253,520,1263,3069,884,166,232,969,2185,546,446,418,1287,966,809,1014,1208,1744,493,180,350,443,246,283,2508,794,2757,308,342,1158,2114,3426,387,886,2247,43,9454
지능범죄,72239,32816,18192,21815,10463,13735,6697,1910,7227,417,1844,2358,1078,1452,2613,3886,756,7022,5433,8453,3812,5035,1293,3146,1505,869,1712,5030,710,4034,1543,3983,5174,1075,2124,4622,1341,323,421,975,2823,1877,217,717,6617,1522,131,671,933,838,551,1134,1775,6431,2414,452,554,2455,4964,683,1036,511,2070,1843,2149,1878,1864,3537,765,321,525,972,538,575,3630,1760,3941,650,703,2428,2906,8564,1367,1875,4879,27106,19820
특별경제범죄,10374,3996,1917,3025,1332,1226,794,169,956,43,238,344,143,382,420,432,89,939,946,946,525,717,148,552,168,65,193,594,57,449,176,489,591,116,200,718,118,73,45,105,253,211,34,67,626,268,8,58,71,116,72,128,280,595,385,81,39,132,429,69,95,81,233,156,208,199,349,366,92,46,46,101,50,67,273,163,408,55,66,277,376,796,114,186,595,2460,2025
폭력범죄,46710,17242,11360,15295,6302,7764,5042,910,4206,174,1456,2167,753,1054,2128,2389,596,4702,4223,6328,2855,4280,1157,2277,969,554,1286,3478,340,2534,1250,2232,3684,716,1054,3854,1040,509,351,566,1581,1319,199,565,4022,903,76,392,459,773,416,856,1302,2942,1167,315,373,1231,2534,393,693,469,1514,1549,1456,1251,1078,1928,530,228,344,764,405,538,1839,1154,2370,480,547,1568,1671,4602,752,1409,3978,638,13926
풍속범죄,5469,1986,1263,1746,679,914,697,133,501,28,153,141,102,132,197,301,47,477,495,1286,256,447,96,269,78,36,136,380,63,257,86,247,328,74,132,345,81,27,20,53,153,150,14,49,397,90,5,37,37,61,32,69,124,405,128,17,24,114,336,32,65,44,143,109,76,145,70,210,41,14,13,81,32,36,185,94,201,29,40,149,119,444,48,95,265,896,1037
환경범죄,50,243,16,87,7,23,29,7,46,0,9,42,7,0,7,43,6,12,7,12,72,105,4,2,66,13,14,111,1,7,41,79,168,92,14,464,2,12,5,6,13,7,0,0,8,8,1,4,4,2,3,3,4,88,5,4,1,3,17,4,11,2,20,5,74,0,65,4,23,3,18,8,0,2,43,22,188,36,46,7,31,71,33,11,21,49,574
SUM,267778,112080,66441,84888,38408,43200,27385,6525,24126,1586,7002,10130,4980,5494,12139,14348,2820,25273,23353,33892,16349,21809,5907,12206,5755,3302,6607,21159,2487,12726,6433,12783,24072,4427,6586,21179,5631,2086,1820,2915,10001,7534,944,3027,23353,5843,458,2640,3185,4812,3298,4586,8196,20858,10443,1712,1874,7212,16588,2720,3897,2495,10129,7256,10556,7018,7583,11891,3253,1271,2123,3793,2090,2652,14614,7386,15281,2678,3165,8821,10229,28277,7007,7521,19236,40205,94635
