,강력범죄,교통범죄,기타범죄,노동범죄,마약범죄,병역범죄,보건범죄,선거범죄,안보범죄,절도범죄,지능범죄,특별경제범죄,폭력범죄,풍속범죄,환경범죄,SUM
아파트_연립다세대,4176,106,25525,2,1209,317,958,79,3,17196,12124,1407,41558,3629,12,108301
단독주택,2529,37,16484,1,1938,411,423,76,7,8117,13091,943,23092,2574,19,69742
고속도로,14,7471,1195,1,6,0,2,0,1,115,999,23,395,9,2,10233
노상,3810,230183,48616,26,1880,212,1337,999,30,51945,68716,4222,86637,2294,628,501535
백화점,35,0,96,0,0,0,0,0,0,2274,400,40,181,21,0,3047
슈퍼마켓,106,2,569,0,2,0,33,2,0,11703,1167,337,768,49,0,14738
편의점,319,3,2150,3,20,0,54,1,1,6994,3312,1331,2167,80,0,16435
대형할인매장,14,0,82,0,0,0,1,1,0,3536,286,52,148,17,1,4138
상점,480,48,2849,5,70,21,851,7,1,17550,7725,2166,3530,257,33,35593
시장_노점,210,53,1400,2,31,3,419,19,0,3927,1950,810,2366,157,8,11355
숙박업소_목욕탕,2801,7,2742,2,920,22,159,3,3,2738,1455,549,5015,633,6,17055
유흥접객업소,3176,14,13059,37,314,0,7441,71,3,8323,18377,5888,22795,488,4,79990
사무실,684,76,19087,124,173,352,671,527,76,2146,37098,6552,5479,1171,111,74327
공장,67,10,1542,14,46,2,48,0,0,1123,1164,519,1176,13,581,6305
공사장_광산,23,21,1178,6,0,0,1,0,0,1207,1673,285,1146,3,270,5813
창고,24,1,2130,0,4,0,7,1,0,1010,156,30,204,30,17,3614
역_대합실,329,10,4599,0,52,5,15,12,1,1175,2326,159,1235,437,12,10367
지하철,722,4,217,0,4,0,0,2,1,585,1047,22,568,417,0,3589
기타교통수단내,1226,62,2972,10,112,2,4,2,1,2924,3893,419,3821,184,146,15778
흥행장,101,3,344,1,4,1,70,6,0,426,362,43,258,30,8,1657
유원지,305,6,896,0,19,6,47,20,0,1771,1319,93,1827,207,5,6521
학교,373,6,2171,0,6,15,9,27,1,1250,578,70,1553,244,3,6306
금융기관,26,0,225,0,151,0,4,1,3,2493,2269,550,249,6,0,5977
의료기관,353,7,2112,3,243,7,977,1,0,946,1712,539,1823,50,9,8782
종교기관,58,1,413,0,2,0,13,17,3,574,234,64,444,5,0,1828
산야,70,51,2515,6,402,0,113,1,0,3362,432,81,1866,24,204,9127
해상,9,64,20344,277,5,0,0,0,0,46,150,12,125,0,183,21215
부대,21,0,325,0,2,405,0,0,0,15,111,5,110,32,0,1026
구금장소,11,0,32,0,0,0,0,0,0,4,30,0,50,2,0,129
공지,3,3,72,0,6,1,2,0,0,52,26,3,35,0,15,218
주차장,230,692,2115,0,102,0,19,10,0,10381,2326,183,11213,48,2,27321
공중화장실,142,0,196,0,30,0,1,1,0,703,1072,4,454,925,0,3528
피씨방,49,0,987,0,10,0,150,0,0,994,433,83,497,382,0,3585
기타,2458,2088,88725,194,2568,2856,3920,1083,84,14665,217092,21131,22501,12695,1198,393258
