행정구역별(읍면동),2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023
행정구역별(읍면동),총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명)
강원삼척,64464,33293,31171,63588,32793,30795,64289,33295,30994,63328,32723,30605,63542,32955,30587,62432,32301,30131
충북충주,215349,109926,105423,208450,105756,102694,215783,110283,105500,208452,105841,102611,215990,110707,105283,207906,105775,102131
충북제천,133750,67024,66726,131640,66027,65613,130436,65535,64901,128225,64450,63775,131583,66239,65344,128833,64796,64037
충북청주,856923,431607,425316,837034,421236,415798,858500,433506,424994,836671,421871,414800,870358,440642,429716,845285,426977,418308
충남천안,683888,349740,334148,655410,333702,321708,687951,352490,335461,656387,334581,321806,689851,354473,335378,654312,334030,320282
충남공주,106915,52782,54133,104211,51409,52802,106038,52554,53484,103177,51046,52131,105498,52306,53192,102119,50463,51656
충남보령,97390,50364,47026,93413,47415,45998,96511,49983,46528,92311,46793,45518,96890,50532,46358,91344,46273,45071
충남아산,348727,182939,165788,320384,166242,154142,363197,190920,172277,331879,172391,159488,376632,198714,177918,341446,177637,163809
충남서산,177497,92741,84756,171473,89453,82020,177947,93033,84914,171437,89398,82039,178618,93739,84879,171191,89474,81717
충남논산,117262,58442,58820,111868,55794,56074,116852,58364,58488,110732,55331,55401,115925,57940,57985,108404,54126,54278
충남계룡,41415,20614,20801,41153,20500,20653,42416,21121,21295,42140,21004,21136,44822,22339,22483,44510,22210,22300
충남당진,169507,91060,78447,161479,85940,75539,171192,92031,79161,162463,86434,76029,174955,94685,80270,164273,87708,76565
전북전주,670411,331251,339160,658902,325887,333015,665884,328855,337029,653683,323098,330585,658032,324240,333792,644953,318104,326849
전북군산,267635,136413,131222,259861,131613,128248,266438,135830,130608,257833,130466,127367,265764,136154,129610,255254,129259,125995
전북익산,280150,140166,139984,273945,137098,136847,277030,138823,138207,270225,135310,134915,274350,137361,136989,266429,133290,133139
전북정읍,104463,51984,52479,100988,49939,51049,103255,51545,51710,99626,49355,50271,102507,51406,51101,98289,48798,49491
전북남원,76551,37396,39155,75273,36888,38385,75259,36710,38549,73943,36155,37788,74554,36425,38129,72899,35682,37217
전북김제,77998,38721,39277,75616,37127,38489,78277,38997,39280,75666,37202,38464,79663,40172,39491,76250,37776,38474
전남목포,221178,110831,110347,216961,108409,108552,219625,110070,109555,215035,107278,107757,217950,109535,108415,212448,106077,106371
전남여수,268687,138498,130189,262421,134168,128253,268139,138403,129736,261126,133371,127755,267392,138189,129203,259346,132345,127001
전남순천,273827,136395,137432,270979,135112,135867,272085,135443,136642,268936,133936,135000,272041,135482,136559,268426,133697,134729
전남나주,115138,57482,57656,111507,55517,55990,114785,57550,57235,110800,55267,55533,117012,58929,58083,111890,55902,55988
전남광양,144226,75350,68876,142036,74406,67630,145926,76212,69714,143581,75104,68477,147378,77226,70152,144721,75865,68856
경북포항,501251,254482,246769,493210,249846,243364,496608,252637,243971,488155,247578,240577,493394,251591,241803,484055,245741,238314
경북경주,261102,132338,128764,245260,122727,122533,259674,131678,127996,243233,121721,121512,259505,132204,127301,241378,120864,120514
경북김천,137962,69158,68804,134762,67328,67434,137698,69099,68599,134097,67012,67085,137413,69117,68296,133249,66587,66662
경북안동,158064,78040,80024,156201,77240,78961,156025,77217,78808,153947,76282,77665,154581,76516,78065,151997,75300,76697
경북구미,413963,213736,200227,407865,210519,197346,409171,211489,197682,402717,208038,194679,407458,211279,196179,399941,206993,192948
경북영주,102414,50831,51583,101202,50309,50893,101521,50654,50867,100139,49993,50146,100479,50296,50183,98699,49366,49333
경북영천,99859,51049,48810,96040,48443,47597,99741,51094,48647,95774,48348,47426,100492,52096,48396,95668,48732,46936
